timestamp_ms,fatigue_level,continuous_score,state,rule,llm
1762749286889,1,0.076,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,1.6561,1.0000
1762749314880,2,0.131,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,2.1266,1.0000
1762749345375,4,0.412,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,1.9131,0.9280
1762749375790,5,0.594,RESTING,Moderate fatigue detected. Stop and rest for 26 seconds.,Moderate fatigue detected. Stop and rest for 26 seconds.,1.7031,0.8572
1762749404291,1,0.000,ACTIVE,Recovered,Rest complete. Resume your next set when ready.,0.1708,0.3405
1762749435799,3,0.315,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,1.6551,0.8410
1762749465000,5,0.527,RESTING,Moderate fatigue detected. Stop and rest for 21 seconds.,Moderate fatigue detected. Stop and rest for 21 seconds.,1.7022,0.8569
1762749494798,3,0.350,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,0.1063,0.3188
1762749723319,1,0.086,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,2.3091,1.0000
1762749753957,2,0.148,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,1.4472,0.7041
1762749790255,4,0.434,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,1.6143,0.7615
1762749822425,5,0.600,RESTING,Moderate fatigue detected. Stop and rest for 27 seconds.,Moderate fatigue detected. Stop and rest for 27 seconds.,1.5443,0.7375
1762749854907,1,0.000,ACTIVE,Recovered,Rest complete. Resume your next set when ready.,0.1299,0.1443
1762749890358,3,0.323,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,1.6346,0.7684
1762750490250,1,0.094,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,2.4495,1.0000
1762750515866,2,0.153,ACTIVE,Good work — you're in your rhythm. Keep it controlled.,Good work — you're in your rhythm. Keep it controlled.,2.5379,1.0000
1762750543125,4,0.440,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,2.5289,0.9975
1762750571207,5,0.622,RESTING,Moderate fatigue detected. Stop and rest for 28 seconds.,Moderate fatigue detected. Stop and rest for 28 seconds.,2.6511,1.0000
1762750598422,1,0.000,ACTIVE,Recovered,Rest complete. Resume your next set when ready.,0.9608,0.5530
1762750625445,3,0.331,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,2.5337,0.9690
1762750651901,5,0.546,RESTING,Moderate fatigue detected. Stop and rest for 22 seconds.,Moderate fatigue detected. Stop and rest for 22 seconds.,2.5856,0.9827
1762750676916,1,0.000,ACTIVE,Recovered,Rest complete. Resume your next set when ready.,0.5689,0.4494
1762750704945,3,0.337,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,2.4900,0.9574
1762750732201,5,0.539,RESTING,Moderate fatigue detected. Stop and rest for 22 seconds.,Moderate fatigue detected. Stop and rest for 22 seconds.,2.5515,0.9737
1762750757803,1,0.000,ACTIVE,Recovered,Rest complete. Resume your next set when ready.,0.4979,0.4306
1762750986183,1,0.075,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,2.6012,1.0000
1762751013311,1,0.107,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,2.9634,1.0000
1762751042043,4,0.382,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,2.9677,1.0000
